column,outlier_pct
WeekendPurchaseRatio,19.053064958828912
CancelledTransactions,17.90942360475755
NegativeQuantityCount,17.90942360475755
MinQuantity,17.63494967978042
ReturnRatio,14.249771271729186
MonetaryMin,11.87099725526075
MonetaryAvg,11.550777676120768
MonetaryMax,11.45928636779506
MonetaryStd,11.024702653247942
MonetaryTotal,9.675205855443734
AvgQuantityPerTransaction,9.492223238792315
TotalQuantity,9.28636779505947
UniqueInvoices,9.080512351326623
Frequency,9.080512351326623
AvgDaysBetweenPurchases,8.968087584439784
TotalTransactions,8.69167429094236
MaxQuantity,8.623055809698078
UniqueDescriptions,7.02195791399817
UniqueProducts,6.9304666056724615
AvgLinesPerInvoice,6.152790484903934
AvgProductsPerTransaction,5.809698078682525
Recency,3.408051235132662
SatisfactionScore,2.607502287282708
SupportTicketsCount,2.516010978956999
PreferredHour,0.6633119853613907
CustomerID,0.0
PreferredMonth,0.0
PreferredDayOfWeek,0.0
CustomerTenureDays,0.0
FirstPurchaseDaysAgo,0.0
ZeroPriceCount,0.0
UniqueCountries,0.0
Age,0.0
Churn,0.0
